number,Correct,Error,Total_Submissions,Easy questions,Medium questions,Hard questions,Cluster
zWhNdfivpK,21.0,163.0,184.0,141.0,31.0,12.0,1
mufArSPbMe,18.0,175.0,193.0,149.0,31.0,13.0,0
WxyyrTNpUO,18.0,165.0,183.0,145.0,25.0,13.0,0
QOOoObBxkV,12.0,154.0,166.0,130.0,23.0,13.0,0
HJcirlSzms,14.0,179.0,193.0,150.0,34.0,9.0,0
YuCyzbPBbJ,19.0,177.0,196.0,139.0,33.0,24.0,0
vqouVEIBOv,17.0,160.0,177.0,138.0,27.0,12.0,0
AGilWFzgLd,20.0,158.0,178.0,144.0,25.0,9.0,3
LTCJzHIMAU,15.0,156.0,171.0,132.0,27.0,12.0,0
EqEbMnsTFo,11.0,151.0,162.0,120.0,31.0,11.0,0
tWARMAYZCB,21.0,152.0,173.0,141.0,22.0,10.0,3
isVHbFRADK,14.0,162.0,176.0,129.0,29.0,18.0,0
TTRxnBHuiv,24.0,164.0,188.0,146.0,28.0,14.0,3
FoQKNkNRkp,14.0,187.0,201.0,136.0,42.0,23.0,3
KKsNFCxQhT,15.0,171.0,186.0,150.0,27.0,9.0,1
nCUHOmcgFk,18.0,140.0,158.0,120.0,24.0,14.0,0
dbeLLFjrEH,16.0,150.0,166.0,123.0,23.0,20.0,0
AcONVueKmZ,16.0,143.0,159.0,116.0,33.0,10.0,4
nDIJMVjwVD,15.0,180.0,195.0,158.0,17.0,20.0,1
PTBoMVGzZe,12.0,163.0,175.0,137.0,23.0,15.0,0
cKaQzJTViZ,22.0,147.0,169.0,128.0,25.0,16.0,1
ZUUYqHadof,19.0,152.0,171.0,137.0,19.0,15.0,4
KbARaFgzQb,10.0,173.0,183.0,135.0,29.0,19.0,4
mWystOUUjV,10.0,176.0,186.0,141.0,28.0,17.0,0
jMNASbswok,11.0,183.0,194.0,155.0,24.0,15.0,0
KEFRtfDgkv,20.0,159.0,179.0,145.0,25.0,9.0,4
OYukOXPMuL,15.0,162.0,177.0,145.0,20.0,12.0,1
VJzKPJRoMp,20.0,155.0,175.0,142.0,20.0,13.0,0
CGBMTtbdfZ,14.0,143.0,157.0,117.0,32.0,8.0,0
LzVqaUvdbA,13.0,170.0,183.0,141.0,21.0,21.0,1
TjwVxwcJZs,15.0,130.0,145.0,115.0,23.0,7.0,1
sPBRDLwjJt,16.0,156.0,172.0,129.0,36.0,7.0,0
RUErvgaDEH,20.0,173.0,193.0,141.0,35.0,17.0,0
eplkSTZzuT,19.0,174.0,193.0,141.0,33.0,19.0,0
KJJBhuvXQK,24.0,181.0,205.0,169.0,31.0,5.0,0
hkJXnqtEwe,15.0,165.0,180.0,131.0,38.0,11.0,3
HysKCbwTgD,12.0,167.0,179.0,140.0,23.0,16.0,3
IaDhLCZTGe,12.0,168.0,180.0,142.0,24.0,14.0,0
FsAZuHeMCF,16.0,163.0,179.0,135.0,30.0,14.0,0
qCvuipNxVe,12.0,156.0,168.0,123.0,33.0,12.0,0
vEZmPoGcZn,15.0,144.0,159.0,113.0,26.0,20.0,4
NQfBdtQqnA,14.0,152.0,166.0,130.0,25.0,11.0,4
DjZMIqDvSx,18.0,149.0,167.0,130.0,23.0,14.0,0
ZmxNBWCLza,17.0,149.0,166.0,124.0,33.0,9.0,0
EzxuJwuqQt,18.0,165.0,183.0,134.0,26.0,23.0,3
duIPGpuPWK,17.0,154.0,171.0,118.0,35.0,18.0,3
lKRtUaiTtf,11.0,177.0,188.0,134.0,35.0,19.0,1
ZRaklWICQd,13.0,154.0,167.0,123.0,27.0,17.0,0
wHzFeXiTwz,21.0,154.0,175.0,137.0,27.0,11.0,0
kCyReaJMdK,18.0,186.0,204.0,154.0,33.0,17.0,0
AFHEoJqWvl,34.0,320.0,354.0,276.0,58.0,20.0,0
iWbsxtDOPN,15.0,154.0,169.0,132.0,26.0,11.0,1
ngzLEMiTvt,19.0,178.0,197.0,143.0,35.0,19.0,1
IQmjfVQjDB,11.0,139.0,150.0,124.0,20.0,6.0,0
PZwVJHDjcR,12.0,190.0,202.0,154.0,31.0,17.0,3
pUYgLDWCNg,20.0,144.0,164.0,126.0,30.0,8.0,4
eUzhLFDhlv,13.0,160.0,173.0,121.0,39.0,13.0,3
mPDtJIUlBw,6.0,183.0,189.0,151.0,30.0,8.0,0
jxuSYZDXRS,11.0,172.0,183.0,142.0,26.0,15.0,3
pBDdapuswj,15.0,175.0,190.0,129.0,42.0,19.0,3
qZySAbYjBW,21.0,180.0,201.0,141.0,40.0,20.0,0
XaAGfqFiGH,21.0,165.0,186.0,142.0,27.0,17.0,1
svXQEcXBXP,12.0,162.0,174.0,120.0,41.0,13.0,0
iRdfnxJGbX,13.0,158.0,171.0,126.0,31.0,14.0,3
soqurLnsvR,17.0,164.0,181.0,128.0,38.0,15.0,4
dtvfEPTNLo,15.0,170.0,185.0,133.0,34.0,18.0,1
XiRkQUODlA,17.0,154.0,171.0,138.0,23.0,10.0,3
qDSwShFFwJ,18.0,159.0,177.0,129.0,28.0,20.0,3
buSmgMmhTk,11.0,180.0,191.0,151.0,34.0,6.0,4
ToUdCdhFwC,15.0,150.0,165.0,120.0,32.0,13.0,1
hmnCCdytmm,17.0,153.0,170.0,124.0,28.0,18.0,2
hoBymOSlXG,13.0,149.0,162.0,118.0,31.0,13.0,0
QwcTEBmniF,14.0,173.0,187.0,136.0,32.0,19.0,4
uzBOnJoZxl,16.0,185.0,201.0,152.0,39.0,10.0,1
jCdUDYIQMl,17.0,175.0,192.0,145.0,36.0,11.0,1
RZvzFATqFu,23.0,156.0,179.0,134.0,28.0,17.0,4
prTcpWCWJe,21.0,156.0,177.0,132.0,33.0,12.0,0
FwckbcNqIt,17.0,161.0,178.0,138.0,30.0,10.0,0
IHmKtploFT,18.0,157.0,175.0,137.0,29.0,9.0,0
qCkPjatQSn,14.0,152.0,166.0,120.0,28.0,18.0,4
MVeQtWkowo,18.0,159.0,177.0,125.0,31.0,21.0,1
xZiwlZZkmn,17.0,174.0,191.0,146.0,32.0,13.0,3
ausUZMLhLc,16.0,184.0,200.0,151.0,34.0,15.0,4
mrqsxrlQJY,15.0,172.0,187.0,153.0,23.0,11.0,1
hrRwhjHmCl,8.0,164.0,172.0,136.0,23.0,13.0,3
lEjZPsOFjJ,13.0,171.0,184.0,148.0,19.0,17.0,3
QKgqCPYMMS,16.0,157.0,173.0,135.0,29.0,9.0,1
aXCVPrWvgi,5.0,169.0,174.0,132.0,24.0,18.0,3
GrUzxJtDUX,18.0,174.0,192.0,140.0,36.0,16.0,1
FJRfYsnNZJ,13.0,153.0,166.0,128.0,26.0,12.0,0
GDvlEwoixk,10.0,171.0,181.0,141.0,24.0,16.0,0
RNPoFamhlW,10.0,163.0,173.0,129.0,28.0,16.0,4
ulvMVRvIie,24.0,172.0,196.0,144.0,33.0,19.0,1
xVEhrAvhfa,12.0,157.0,169.0,129.0,27.0,13.0,3
wpBzhkTlpG,22.0,148.0,170.0,140.0,21.0,9.0,0
